modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego,Atego_57,31A,1,12.0,314.0,19466.0,19780.0,314.0
Atego (ATP),Atego (ATP)_31,38,1,0.0,633.0,19290.0,19923.0,633.0
Accelo,Accelo_51,32A,1,1846.0,354.0,19575.0,19929.0,354.0
Atego (ATP),Atego (ATP)_37,32C,1,4026.0,815.0,19115.0,19930.0,815.0
Accelo,Accelo_32,34A,1,1438.0,671.0,19290.0,19961.0,671.0
Actros,Actros_50,32D,2,0.0,988.0,19102.0,20090.0,988.0
Accelo,Accelo_58,31A,1,57.0,316.0,19780.0,20096.0,316.0
Atego (ATP),Atego (ATP)_37,33A,1,0.0,376.0,19930.0,20306.0,376.0
Atego,Atego_60,30A,1,0.0,314.0,20130.0,20444.0,314.0
Atego,Atego_38,32C,1,4427.0,544.0,19930.0,20474.0,544.0
Actros,Actros_59,30B,2,0.0,752.0,19800.0,20552.0,752.0
Accelo,Accelo_32,38,1,0.0,633.0,19961.0,20594.0,633.0
Atego (ATP),Atego (ATP)_52,32A,1,1783.0,677.0,19929.0,20606.0,677.0
Atego,Atego_33,34A,1,1506.0,646.0,19961.0,20607.0,646.0
Accelo,Accelo_61,30A,1,0.0,253.0,20460.0,20713.0,253.0
Atego,Atego_60,31A,1,0.0,314.0,20444.0,20758.0,314.0
Actros,Actros_45,34B,2,0.0,1623.0,19201.0,20824.0,1623.0
Actros,Actros_50,33B,2,0.0,761.0,20090.0,20851.0,761.0
Atego,Atego_38,33A,1,0.0,428.0,20474.0,20902.0,428.0
Atego,Atego_53,32A,1,2146.0,414.0,20606.0,21020.0,414.0
Accelo,Accelo_39,32C,1,4617.0,561.0,20474.0,21035.0,561.0
Accelo,Accelo_62,30A,1,0.0,253.0,20790.0,21043.0,253.0
Accelo,Accelo_61,31A,1,45.0,316.0,20758.0,21074.0,316.0
Actros,Actros_59,31B,2,0.0,555.0,20552.0,21107.0,555.0
Actros,Actros_45,39,2,0.0,354.0,20824.0,21178.0,354.0
Atego,Atego_33,38,1,0.0,633.0,20607.0,21240.0,633.0
Atego,Atego_35,34A,1,1608.0,646.0,20607.0,21253.0,646.0
Accelo,Accelo_62,31A,1,31.0,316.0,21074.0,21390.0,316.0
Accelo,Accelo_39,33A,1,0.0,369.0,21035.0,21404.0,369.0
Atego,Atego_54,32A,1,2242.0,414.0,21020.0,21434.0,414.0
Atego,Atego_63,30A,1,0.0,314.0,21120.0,21434.0,314.0
Atego,Atego_41,32C,1,4764.0,544.0,21035.0,21579.0,544.0
Atego,Atego_63,31A,1,0.0,314.0,21434.0,21748.0,314.0
Atego,Atego_64,30A,1,0.0,314.0,21450.0,21764.0,314.0
Accelo,Accelo_55,32A,1,2340.0,354.0,21434.0,21788.0,354.0
Atego,Atego_35,38,1,0.0,633.0,21253.0,21886.0,633.0
Atego,Atego_36,34A,1,1710.0,646.0,21253.0,21899.0,646.0
Atego,Atego_41,33A,1,0.0,428.0,21579.0,22007.0,428.0
Actros,Actros_59,32B,2,0.0,965.0,21107.0,22072.0,965.0
Atego,Atego_64,31A,1,0.0,314.0,21764.0,22078.0,314.0
Atego (ATP),Atego (ATP)_65,30A,1,0.0,326.0,21780.0,22106.0,326.0
Accelo,Accelo_42,32C,1,4954.0,561.0,21579.0,22140.0,561.0
Atego,Atego_66,30A,1,0.0,314.0,22110.0,22424.0,314.0
Atego (ATP),Atego (ATP)_65,31A,1,0.0,330.0,22106.0,22436.0,330.0
