modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego (ATP),Atego (ATP)_68,30B,2,0.0,326.0,23138.0,23464.0,326.0
Atego,Atego_66,32A,1,0.0,414.0,23106.0,23520.0,414.0
Accelo,Accelo_53,33A,1,0.0,369.0,23285.0,23654.0,369.0
Atego (ATP),Atego (ATP)_63,32B,2,745.0,557.0,23118.0,23675.0,557.0
Atego,Atego_43,38,1,0.0,633.0,23130.0,23763.0,633.0
Atego,Atego_44,34A,1,3310.0,646.0,23130.0,23776.0,646.0
Atego (ATP),Atego (ATP)_68,31B,2,0.0,330.0,23464.0,23794.0,330.0
Atego,Atego_55,32C,1,3579.0,544.0,23285.0,23829.0,544.0
Atego,Atego_67,32A,1,84.0,414.0,23520.0,23934.0,414.0
Accelo,Accelo_70,30A,1,0.0,253.0,23798.0,24051.0,253.0
Actros,Actros_61,33B,2,0.0,761.0,23365.0,24126.0,761.0
Actros,Actros_69,30B,2,0.0,752.0,23468.0,24220.0,752.0
Actros,Actros_57,34B,2,0.0,1623.0,22604.0,24227.0,1623.0
Atego,Atego_55,33A,1,0.0,428.0,23829.0,24257.0,428.0
Atego (ATP),Atego (ATP)_63,32D,2,0.0,588.0,23675.0,24263.0,588.0
Accelo,Accelo_70,31A,1,0.0,316.0,24051.0,24367.0,316.0
Atego,Atego_56,32C,1,3709.0,544.0,23829.0,24373.0,544.0
Atego,Atego_44,38,1,0.0,633.0,23776.0,24409.0,633.0
Atego,Atego_46,34A,1,3412.0,646.0,23776.0,24422.0,646.0
Atego,Atego_71,30A,1,0.0,314.0,24128.0,24442.0,314.0
Actros,Actros_57,39,2,0.0,354.0,24227.0,24581.0,354.0
Atego (ATP),Atego (ATP)_59,34B,2,1110.0,395.0,24227.0,24622.0,395.0
Atego (ATP),Atego (ATP)_63,33B,2,0.0,376.0,24263.0,24639.0,376.0
Actros,Actros_65,32B,2,220.0,965.0,23675.0,24640.0,965.0
Accelo,Accelo_70,32A,1,0.0,354.0,24367.0,24721.0,354.0
Atego (ATP),Atego (ATP)_59,39,2,0.0,120.0,24622.0,24742.0,120.0
Atego,Atego_71,31A,1,0.0,314.0,24442.0,24756.0,314.0
Actros,Actros_69,31B,2,0.0,555.0,24220.0,24775.0,555.0
Atego,Atego_56,33A,1,0.0,428.0,24373.0,24801.0,428.0
Actros,Actros_65,32D,2,0.0,247.0,24640.0,24887.0,247.0
Accelo,Accelo_58,32C,1,3796.0,561.0,24373.0,24934.0,561.0
Accelo,Accelo_73,30A,1,0.0,253.0,24788.0,25041.0,253.0
Atego,Atego_46,38,1,0.0,633.0,24422.0,25055.0,633.0
Accelo,Accelo_47,34A,1,3556.0,671.0,24422.0,25093.0,671.0
Atego,Atego_71,32A,1,0.0,414.0,24756.0,25170.0,414.0
Atego (ATP),Atego (ATP)_68,32B,2,846.0,557.0,24640.0,25197.0,557.0
Actros,Actros_72,30B,2,0.0,752.0,24458.0,25210.0,752.0
Accelo,Accelo_58,33A,1,0.0,369.0,24934.0,25303.0,369.0
Accelo,Accelo_73,31A,1,0.0,316.0,25041.0,25357.0,316.0
Atego,Atego_74,30A,1,0.0,314.0,25118.0,25432.0,314.0
Atego,Atego_60,32C,1,3486.0,544.0,24934.0,25478.0,544.0
Actros,Actros_65,33B,2,0.0,761.0,24887.0,25648.0,761.0
Accelo,Accelo_73,32A,1,0.0,354.0,25357.0,25711.0,354.0
Accelo,Accelo_47,38,1,0.0,633.0,25093.0,25726.0,633.0
Atego,Atego_74,31A,1,0.0,314.0,25432.0,25746.0,314.0
Atego,Atego_75,30A,1,0.0,314.0,25448.0,25762.0,314.0
Accelo,Accelo_48,34A,1,3666.0,671.0,25093.0,25764.0,671.0
Actros,Actros_72,31B,2,0.0,555.0,25210.0,25765.0,555.0
Atego (ATP),Atego (ATP)_68,32D,2,0.0,588.0,25197.0,25785.0,588.0
Atego,Atego_60,33A,1,0.0,428.0,25478.0,25906.0,428.0
Atego,Atego_62,32C,1,3370.0,544.0,25478.0,26022.0,544.0
Atego,Atego_75,31A,1,0.0,314.0,25762.0,26076.0,314.0
Atego,Atego_76,30A,1,0.0,314.0,25778.0,26092.0,314.0
Atego,Atego_74,32A,1,0.0,414.0,25746.0,26160.0,414.0
Atego (ATP),Atego (ATP)_68,33B,2,0.0,376.0,25785.0,26161.0,376.0
Actros,Actros_69,32B,2,422.0,965.0,25197.0,26162.0,965.0
Actros,Actros_61,34B,2,496.0,1623.0,24622.0,26245.0,1623.0
Accelo,Accelo_48,38,1,0.0,633.0,25764.0,26397.0,633.0
Atego,Atego_76,31A,1,0.0,314.0,26092.0,26406.0,314.0
