modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego,Atego_37,32A,1,563.0,414.0,14575.0,14989.0,414.0
Atego,Atego_40,31A,1,12.0,314.0,14700.0,15014.0,314.0
Atego,Atego_24,38,1,0.0,633.0,14387.0,15020.0,633.0
Accelo,Accelo_29,32C,1,2715.0,561.0,14482.0,15043.0,561.0
Accelo,Accelo_26,34A,1,912.0,671.0,14387.0,15058.0,671.0
Accelo,Accelo_41,31A,1,57.0,316.0,15014.0,15330.0,316.0
Atego (ATP),Atego (ATP)_42,30A,1,0.0,326.0,15034.0,15360.0,326.0
Accelo,Accelo_29,33A,1,0.0,369.0,15043.0,15412.0,369.0
Atego quinta roda,Atego quinta roda_38,32D,2,0.0,588.0,14927.0,15515.0,588.0
Atego,Atego_32,32C,1,2267.0,544.0,15043.0,15587.0,544.0
Atego (ATP),Atego (ATP)_39,32A,1,289.0,677.0,14989.0,15666.0,677.0
Atego,Atego_43,30A,1,0.0,314.0,15364.0,15678.0,314.0
Atego (ATP),Atego (ATP)_42,31A,1,0.0,330.0,15360.0,15690.0,330.0
Accelo,Accelo_26,38,1,0.0,633.0,15058.0,15691.0,633.0
Accelo,Accelo_27,34A,1,1022.0,671.0,15058.0,15729.0,671.0
Atego quinta roda,Atego quinta roda_38,33B,2,0.0,376.0,15515.0,15891.0,376.0
Actros,Actros_30,34B,2,341.0,1623.0,14273.0,15896.0,1623.0
Atego,Atego_43,31A,1,12.0,314.0,15690.0,16004.0,314.0
Atego,Atego_44,30A,1,0.0,314.0,15694.0,16008.0,314.0
Atego,Atego_32,33A,1,0.0,428.0,15587.0,16015.0,428.0
Atego,Atego_40,32A,1,652.0,414.0,15666.0,16080.0,414.0
Actros,Actros_30,39,2,0.0,354.0,15896.0,16250.0,354.0
Atego quinta roda,Atego quinta roda_31,34B,2,1451.0,395.0,15896.0,16291.0,395.0
Atego,Atego_44,31A,1,0.0,314.0,16008.0,16322.0,314.0
Accelo,Accelo_27,38,1,0.0,633.0,15729.0,16362.0,633.0
Atego (ATP),Atego (ATP)_28,34A,1,871.0,650.0,15729.0,16379.0,650.0
Atego (ATP),Atego (ATP)_33,32C,1,2134.0,815.0,15587.0,16402.0,815.0
Atego quinta roda,Atego quinta roda_31,39,2,0.0,120.0,16291.0,16411.0,120.0
Accelo,Accelo_41,32A,1,750.0,354.0,16080.0,16434.0,354.0
Atego quinta roda,Atego quinta roda_38,34B,2,400.0,395.0,16291.0,16686.0,395.0
Actros,Actros_45,30B,2,0.0,752.0,16024.0,16776.0,752.0
Atego (ATP),Atego (ATP)_33,33A,1,0.0,376.0,16402.0,16778.0,376.0
Atego quinta roda,Atego quinta roda_38,39,2,0.0,120.0,16686.0,16806.0,120.0
Accelo,Accelo_34,32C,1,2595.0,561.0,16402.0,16963.0,561.0
Atego (ATP),Atego (ATP)_28,38,1,0.0,633.0,16379.0,17012.0,633.0
Accelo,Accelo_29,34A,1,967.0,671.0,16379.0,17050.0,671.0
Atego quinta roda,Atego quinta roda_46,30B,2,0.0,326.0,16776.0,17102.0,326.0
Atego (ATP),Atego (ATP)_42,32A,1,744.0,677.0,16434.0,17111.0,677.0
Actros,Actros_45,31B,2,0.0,555.0,16776.0,17331.0,555.0
Accelo,Accelo_34,33A,1,0.0,369.0,16963.0,17332.0,369.0
Accelo,Accelo_47,30A,1,0.0,253.0,17106.0,17359.0,253.0
Accelo,Accelo_35,32C,1,2802.0,561.0,16963.0,17524.0,561.0
Atego,Atego_43,32A,1,1107.0,414.0,17111.0,17525.0,414.0
Atego quinta roda,Atego quinta roda_46,31B,2,229.0,330.0,17331.0,17661.0,330.0
Accelo,Accelo_47,31A,1,0.0,316.0,17359.0,17675.0,316.0
Accelo,Accelo_29,38,1,0.0,633.0,17050.0,17683.0,633.0
Accelo,Accelo_48,30A,1,0.0,253.0,17436.0,17689.0,253.0
Atego,Atego_32,34A,1,1035.0,646.0,17050.0,17696.0,646.0
Accelo,Accelo_35,33A,1,0.0,369.0,17524.0,17893.0,369.0
Atego,Atego_44,32A,1,1203.0,414.0,17525.0,17939.0,414.0
Accelo,Accelo_48,31A,1,0.0,316.0,17689.0,18005.0,316.0
Atego,Atego_36,32C,1,2949.0,544.0,17524.0,18068.0,544.0
Atego (ATP),Atego (ATP)_49,30A,1,0.0,326.0,17766.0,18092.0,326.0
Accelo,Accelo_47,32A,1,264.0,354.0,17939.0,18293.0,354.0
Actros,Actros_45,32B,2,0.0,965.0,17331.0,18296.0,965.0
Atego,Atego_32,38,1,0.0,633.0,17696.0,18329.0,633.0
Atego (ATP),Atego (ATP)_33,34A,1,918.0,650.0,17696.0,18346.0,650.0
Accelo,Accelo_50,30A,1,0.0,253.0,18096.0,18349.0,253.0
Atego (ATP),Atego (ATP)_49,31A,1,0.0,330.0,18092.0,18422.0,330.0
Atego,Atego_36,33A,1,0.0,428.0,18068.0,18496.0,428.0
Actros,Actros_45,32D,2,0.0,247.0,18296.0,18543.0,247.0
Atego,Atego_37,32C,1,3079.0,544.0,18068.0,18612.0,544.0
Accelo,Accelo_48,32A,1,288.0,354.0,18293.0,18647.0,354.0
Accelo,Accelo_50,31A,1,73.0,316.0,18422.0,18738.0,316.0
Atego quinta roda,Atego quinta roda_51,30B,2,0.0,326.0,18426.0,18752.0,326.0
Atego quinta roda,Atego quinta roda_46,32B,2,635.0,557.0,18296.0,18853.0,557.0
Atego (ATP),Atego (ATP)_33,38,1,0.0,633.0,18346.0,18979.0,633.0
Accelo,Accelo_52,30A,1,0.0,253.0,18756.0,19009.0,253.0
Accelo,Accelo_34,34A,1,1014.0,671.0,18346.0,19017.0,671.0
Atego,Atego_37,33A,1,0.0,428.0,18612.0,19040.0,428.0
Atego quinta roda,Atego quinta roda_51,31B,2,0.0,330.0,18752.0,19082.0,330.0
Actros,Actros_45,33B,2,0.0,761.0,18543.0,19304.0,761.0
Atego (ATP),Atego (ATP)_49,32A,1,225.0,677.0,18647.0,19324.0,677.0
Accelo,Accelo_52,31A,1,0.0,316.0,19009.0,19325.0,316.0
Accelo,Accelo_53,30A,1,0.0,253.0,19086.0,19339.0,253.0
Atego (ATP),Atego (ATP)_39,32C,1,2946.0,815.0,18612.0,19427.0,815.0
Atego quinta roda,Atego quinta roda_46,32D,2,0.0,588.0,18853.0,19441.0,588.0
Atego quinta roda,Atego quinta roda_51,32B,2,0.0,557.0,19082.0,19639.0,557.0
Accelo,Accelo_34,38,1,0.0,633.0,19017.0,19650.0,633.0
Accelo,Accelo_53,31A,1,0.0,316.0,19339.0,19655.0,316.0
Accelo,Accelo_50,32A,1,586.0,354.0,19324.0,19678.0,354.0
Accelo,Accelo_35,34A,1,1124.0,671.0,19017.0,19688.0,671.0
Atego (ATP),Atego (ATP)_54,30A,1,0.0,326.0,19416.0,19742.0,326.0
Atego (ATP),Atego (ATP)_39,33A,1,0.0,376.0,19427.0,19803.0,376.0
Atego quinta roda,Atego quinta roda_46,33B,2,0.0,376.0,19441.0,19817.0,376.0
Atego,Atego_40,32C,1,3347.0,544.0,19427.0,19971.0,544.0
Accelo,Accelo_52,32A,1,353.0,354.0,19678.0,20032.0,354.0
Atego,Atego_55,30A,1,0.0,314.0,19746.0,20060.0,314.0
Atego (ATP),Atego (ATP)_54,31A,1,0.0,330.0,19742.0,20072.0,330.0
Atego quinta roda,Atego quinta roda_51,32D,2,0.0,588.0,19639.0,20227.0,588.0
Accelo,Accelo_35,38,1,0.0,633.0,19688.0,20321.0,633.0
Atego,Atego_36,34A,1,1192.0,646.0,19688.0,20334.0,646.0
Accelo,Accelo_53,32A,1,377.0,354.0,20032.0,20386.0,354.0
Atego,Atego_55,31A,1,12.0,314.0,20072.0,20386.0,314.0
Atego,Atego_56,30A,1,0.0,314.0,20076.0,20390.0,314.0
Atego,Atego_40,33A,1,0.0,428.0,19971.0,20399.0,428.0
Accelo,Accelo_41,32C,1,3537.0,561.0,19971.0,20532.0,561.0
Atego quinta roda,Atego quinta roda_51,33B,2,0.0,376.0,20227.0,20603.0,376.0
Atego,Atego_56,31A,1,0.0,314.0,20390.0,20704.0,314.0
Accelo,Accelo_41,33A,1,0.0,369.0,20532.0,20901.0,369.0
Actros,Actros_45,34B,2,0.0,1623.0,19304.0,20927.0,1623.0
Atego,Atego_36,38,1,0.0,633.0,20334.0,20967.0,633.0
Atego,Atego_37,34A,1,1294.0,646.0,20334.0,20980.0,646.0
Accelo,Accelo_58,30A,1,0.0,253.0,20736.0,20989.0,253.0
Atego (ATP),Atego (ATP)_54,32A,1,314.0,677.0,20386.0,21063.0,677.0
Actros,Actros_57,30B,2,0.0,752.0,20406.0,21158.0,752.0
Actros,Actros_45,39,2,0.0,354.0,20927.0,21281.0,354.0
Accelo,Accelo_58,31A,1,0.0,316.0,20989.0,21305.0,316.0
Atego quinta roda,Atego quinta roda_46,34B,2,1110.0,395.0,20927.0,21322.0,395.0
Atego (ATP),Atego (ATP)_42,32C,1,3421.0,815.0,20532.0,21347.0,815.0
Atego (ATP),Atego (ATP)_59,30A,1,0.0,326.0,21066.0,21392.0,326.0
Atego quinta roda,Atego quinta roda_46,39,2,0.0,120.0,21322.0,21442.0,120.0
Atego,Atego_55,32A,1,677.0,414.0,21063.0,21477.0,414.0
Atego,Atego_37,38,1,0.0,633.0,20980.0,21613.0,633.0
Atego (ATP),Atego (ATP)_39,34A,1,1177.0,650.0,20980.0,21630.0,650.0
Atego,Atego_60,30A,1,0.0,314.0,21396.0,21710.0,314.0
Actros,Actros_57,31B,2,0.0,555.0,21158.0,21713.0,555.0
Atego quinta roda,Atego quinta roda_51,34B,2,719.0,395.0,21322.0,21717.0,395.0
Atego (ATP),Atego (ATP)_59,31A,1,0.0,330.0,21392.0,21722.0,330.0
Atego (ATP),Atego (ATP)_42,33A,1,0.0,376.0,21347.0,21723.0,376.0
Atego quinta roda,Atego quinta roda_51,39,2,0.0,120.0,21717.0,21837.0,120.0
Atego,Atego_43,32C,1,3822.0,544.0,21347.0,21891.0,544.0
Atego,Atego_56,32A,1,773.0,414.0,21477.0,21891.0,414.0
Atego,Atego_60,31A,1,12.0,314.0,21722.0,22036.0,314.0
Accelo,Accelo_58,32A,1,586.0,354.0,21891.0,22245.0,354.0
Atego (ATP),Atego (ATP)_39,38,1,0.0,633.0,21630.0,22263.0,633.0
Atego,Atego_40,34A,1,1231.0,646.0,21630.0,22276.0,646.0
Atego,Atego_43,33A,1,0.0,428.0,21891.0,22319.0,428.0
Atego,Atego_62,30A,1,0.0,314.0,22056.0,22370.0,314.0
Atego,Atego_44,32C,1,3952.0,544.0,21891.0,22435.0,544.0
Actros,Actros_61,30B,2,0.0,752.0,21726.0,22478.0,752.0
Actros,Actros_57,32B,2,0.0,965.0,21713.0,22678.0,965.0
Atego,Atego_62,31A,1,0.0,314.0,22370.0,22684.0,314.0
Atego (ATP),Atego (ATP)_63,30A,1,0.0,326.0,22386.0,22712.0,326.0
Atego,Atego_44,33A,1,0.0,428.0,22435.0,22863.0,428.0
Atego,Atego_40,38,1,0.0,633.0,22276.0,22909.0,633.0
Atego (ATP),Atego (ATP)_59,32A,1,523.0,677.0,22245.0,22922.0,677.0
Actros,Actros_57,32D,2,0.0,247.0,22678.0,22925.0,247.0
Accelo,Accelo_41,34A,1,1375.0,671.0,22276.0,22947.0,671.0
Accelo,Accelo_47,32C,1,4142.0,561.0,22435.0,22996.0,561.0
Actros,Actros_61,31B,2,0.0,555.0,22478.0,23033.0,555.0
Atego (ATP),Atego (ATP)_63,31A,1,0.0,330.0,22712.0,23042.0,330.0
Atego quinta roda,Atego quinta roda_64,30B,2,0.0,326.0,22716.0,23042.0,326.0
Atego,Atego_60,32A,1,886.0,414.0,22922.0,23336.0,414.0
Accelo,Accelo_47,33A,1,0.0,369.0,22996.0,23365.0,369.0
Atego quinta roda,Atego quinta roda_64,31B,2,0.0,330.0,23042.0,23372.0,330.0
Accelo,Accelo_48,32C,1,4349.0,561.0,22996.0,23557.0,561.0
Accelo,Accelo_41,38,1,0.0,633.0,22947.0,23580.0,633.0
Atego (ATP),Atego (ATP)_42,34A,1,1224.0,650.0,22947.0,23597.0,650.0
Actros,Actros_57,33B,2,0.0,761.0,22925.0,23686.0,761.0
Atego,Atego_66,30A,1,0.0,314.0,23376.0,23690.0,314.0
Atego,Atego_62,32A,1,652.0,414.0,23336.0,23750.0,414.0
Actros,Actros_65,30B,2,0.0,752.0,23046.0,23798.0,752.0
Accelo,Accelo_48,33A,1,0.0,369.0,23557.0,23926.0,369.0
Actros,Actros_61,32B,2,0.0,965.0,23033.0,23998.0,965.0
Atego,Atego_66,31A,1,0.0,314.0,23690.0,24004.0,314.0
Atego,Atego_67,30A,1,0.0,314.0,23706.0,24020.0,314.0
Atego (ATP),Atego (ATP)_42,38,1,0.0,633.0,23597.0,24230.0,633.0
Atego,Atego_43,34A,1,1278.0,646.0,23597.0,24243.0,646.0
Actros,Actros_61,32D,2,0.0,247.0,23998.0,24245.0,247.0
