c.c.;Posto;Descrição;C951102;C951104;C951111;C951500;C951501;C951511;C951514;C951530;C951544;C963403;C963411;C963414;C963424;C963425;C964016;C964231;C964416;C968114;C968403;C968450;C968461
122.4;VHDP04;PRE-MONTAGEM BARRA EST. UPDATE               ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;17,04;12,00;6,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00
122.4;VHLP08;TANQUE DE AR                                 ;10,56;6,42;5,90;11,04;9,04;13,04;14,56;12,76;12,24;19,52;13,02;15,00;23,52;24,54;12,18;27,50;14,66;7,72;15,72;4,02;7,52
122.4;VHLP09;CONSOLE DE TANQUE DE COMBUSTIVEL             ;13,50;13,50;15,50;8,64;8,70;11,14;21,90;32,24;28,54;34,02;39,52;43,02;64,06;40,54;24,98;50,54;28,98;22,52;22,50;28,06;29,02
122.4;VHLP10;SUPORTE DO PARALAMA                          ;2,00;2,00;4,00;3,52;1,00;1,00;7,02;9,02;1,20;28,52;22,88;26,88;23,52;25,52;10,86;31,02;33,34;11,02;15,02;15,88;17,88
122.4;VHLP11;CONJUNTO SUSPENSAO                           ;13,38;13,38;15,84;21,44;13,57;12,37;10,87;9,78;15,02;15,80;10,80;12,30;19,78;22,78;0,00;8,04;0,00;11,82;12,80;16,80;10,80
122.4;VHLP12;CONJUNTO SUSPENSAO                           ;7,30;7,30;7,30;3,78;2,28;6,80;2,28;17,76;13,58;7,32;18,80;26,86;11,52;14,52;22,34;25,50;23,36;27,58;10,08;23,12;25,10
122.4;VHLP13;FIXACAO SUSPENSAO                            ;20,53;22,51;18,51;22,47;17,93;14,82;17,80;22,68;19,68;15,00;16,96;22,50;19,35;20,52;10,00;32,56;12,16;8,02;10,02;8,00;8,48
122.4;VHLP14;ENCAPSULAMENTO                               ;6,66;9,66;5,64;12,86;8,00;7,86;15,88;10,86;4,00;40,08;39,54;34,54;47,04;50,06;15,54;22,56;16,52;17,96;5,02;23,54;29,52
122.4;VHLP15;PRE-MONTAGEM E MONTAGEM DO CONJUNTO CARDAN   ;10,14;8,14;8,14;3,00;3,00;8,50;18,62;27,79;12,67;29,08;29,08;35,14;36,64;29,58;26,68;40,14;31,42;23,64;14,06;36,14;28,08
122.4;VHLP16;LUBRIFICACAO CARDAN E AMARRACAO SENSORES EIXO;46,04;51,04;51,04;28,83;30,81;27,66;26,38;17,72;30,43;0,50;0,50;0,50;0,50;0,50;2,00;2,52;0,50;9,04;0,00;0,50;0,50
122.4;VHLP17;VIRADA DO CHASSI                             ;5,28;5,28;5,28;5,52;5,94;5,94;5,52;5,52;5,52;207,20;134,60;134,60;263,48;254,48;0,00;0,00;0,00;228,08;228,08;237,20;194,60
122.4;VHSQ07;SEQUENCIAMENTO CARDAN             ;1,10;1,10;0,00;1,70;1,70;1,70;1,70;1,70;1,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
122.4;VHSQ13;SEQUENCIAMENTO SUP. TQ COMBUSTIVEL;2,80;2,80;3,90;1,00;3,00;1,00;1,00;1,00;1,00;5,48;5,48;8,48;5,48;5,48;15,26;4,50;14,48;0,98;0,98;0,98;0,98
122.4;VHSQ14;SEQUENCIAMENTO KIT ZONE           ;2,55;2,55;3,05;4,50;4,50;4,50;4,50;4,50;4,50;2,10;2,10;14,10;2,10;2,10;0,00;4,02;1,00;2,60;1,10;1,10;1,10
122.4;VHSQ15;SEQUENCIAMENTO AMORTECEDOR        ;0,00;0,00;1,10;0,00;0,00;0,00;0,00;0,50;0,00;3,36;3,35;3,35;3,35;3,35;2,52;2,52;2,52;0,84;0,84;3,36;3,35
122.4;VHSQ16;SEQUENCIAMENTO ENCAPSULAMENTO     ;4,68;7,68;7,68;4,80;4,80;4,80;4,80;1,80;4,80;8,85;11,35;11,35;8,85;8,85;10,50;9,98;14,98;3,35;0,35;0,35;0,35
122.4;VHSQ17;SEQUENCIAMENTO KIT ZONE II        ;0,00;0,00;0,00;2,44;2,44;2,44;2,44;4,94;2,44;2,00;2,00;2,00;2,00;2,00;6,50;7,00;6,50;2,44;2,44;2,00;2,00
122.4;VHSQ19;SEQUENCIAMENTO EIXO TRANSMISSAO   ;2,50;2,50;2,50;0,00;0,00;0,00;0,50;0,00;0,00;2,52;2,52;2,52;4,52;2,52;0,00;0,00;0,00;2,52;2,52;2,52;2,52
122.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
123.4;;;0,80;0,80;46,34;31,98;31,98;31,98;36,48;81,96;31,98;5,48;4,98;4,98;58,52;5,48;18,06;58,52;26,76;4,98;4,98;4,98;4,98
123.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
123.4;VHPM07;PRE MONTAGEM DA CAIXA DE BATERIA ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;1,50;1,50;1,50;1,50;1,50;1,50;0,00;1,50;1,50;1,50;1,50;1,50
123.4;VHPM08;PRE MONTAGEM CATALISADOR;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;8,00;4,00;8,00;0,00;0,00;8,00;8,00
123.4;VHPM11;PRE MONTAGEM PARA-LAMA TRASEIRO ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;4,00;4,00;4,00;73,56;73,56;0,00;0,00;0,00;0,00
123.4;VHPM13;PRE MONTAGEM PARACHOQUE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,80;7,32;7,32;7,32;3,80;3,80;0,90;3,80;0,90;0,90;3,80;3,80
123.4;VHPM20;PRE-MONTAGEM DA CAIXA DE BATERIA;5,50;5,50;5,50;6,50;6,50;6,50;6,50;4,00;10,00;8,02;37,02;34,00;8,02;8,02;38,02;14,52;35,00;4,00;4,00;30,00;30,00
123.4;VHPM21;PRE-MONTAGEM DO CATALISADOR            ;15,43;15,43;15,43;19,50;19,50;21,50;21,00;18,87;14,00;27,52;48,06;48,56;27,52;27,52;44,56;20,00;40,02;19,00;14,06;33,06;33,06
123.4;VHPM23;PRE-MONTAGEM DO TANQUE DE ARLA         ;7,00;7,00;7,00;9,56;9,56;9,56;9,06;14,54;15,06;0,96;0,96;0,96;0,96;0,96;0,96;1,96;1,96;5,96;10,96;0,96;0,96
123.4;VHPM24;PRE-MONTAGEM DA TRAVA DA CABINA        ;3,00;2,00;2,00;11,87;11,87;11,87;11,87;11,87;6,89;70,34;80,34;83,34;80,34;78,34;61,54;67,56;77,06;15,87;33,00;34,40;34,40
123.4;VHPM26;PRE-MONTAGEM DO TANQUE DE COMBUSTIVEL  ;9,00;9,00;9,00;4,10;4,10;4,10;4,10;4,10;13,08;6,50;9,52;11,52;7,52;7,52;3,00;4,50;7,52;0,50;6,00;7,52;7,52
123.4;VHPM27;PRE-MONTAGEM DO FILTRO AR E ESCAP. VERT;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,02;0,00;12,00;18,50;17,50;12,00;12,00;17,50;3,50;20,00;11,00;18,50;21,50;21,50
123.4;VHPM28;PRE-MONTAGEM PARACHOQUE ATEGO          ;14,07;7,59;7,59;15,11;15,11;15,11;49,59;52,59;16,55;9,02;7,52;7,52;9,02;9,02;3,00;5,00;3,00;49,59;16,55;7,98;7,98
